Time(ms),Sensor,AQI,TVOC,ECO2,Rs0,Rs1,Rs2,Rs3,Temp(C),Humidity(%)
1242,0,1,24,400,33012,1,13591,4125,26.27,55.13
1244,1,1,24,400,39179,1,16999,3512,26.27,55.13
1245,2,0,0,0,1,1,1,1,26.27,55.13
1246,3,0,0,0,1,1,1,1,26.27,55.13
1247,4,0,0,0,1,1,1,1,26.27,55.13
4279,0,5,7711,2681,40268,1,17915,8786,26.35,55.10
4282,1,5,9032,3215,45655,1,21362,7456,26.35,55.10
4284,2,1,0,400,37696,1,18544,7818,26.35,55.10
4285,3,5,7708,2680,48098,1,23037,9663,26.35,55.10
4286,4,5,8963,3186,36257,1,18407,7555,26.35,55.10
7303,0,5,5361,1821,44571,1,22536,12650,26.44,54.94
7304,1,5,5865,1995,50058,1,25508,11495,26.44,54.94
7306,2,5,6424,2194,41457,1,23186,11943,26.44,54.94
7307,3,5,5170,1757,52736,1,27958,14426,26.44,54.94
7309,4,5,5781,1965,40679,1,22712,11727,26.44,54.94
10327,0,5,3303,1445,48622,1,26040,16185,26.56,54.72
10328,1,5,4410,1612,51887,1,28570,14270,26.56,54.72
10330,2,5,5102,1734,43646,1,26040,15049,26.56,54.72
10331,3,5,3250,1436,55897,1,32207,17915,26.56,54.72
10333,4,5,4188,1580,42179,1,26556,14662,26.56,54.72
13349,0,5,2354,1283,52274,1,28969,18594,26.68,54.46
13350,1,5,3161,1422,55445,1,31272,16389,26.68,54.46
13352,2,5,3483,1473,47163,1,29048,17921,26.68,54.46
13353,3,5,2317,1276,59048,1,35794,20575,26.68,54.46
13355,4,5,3000,1395,46278,1,29997,16839,26.68,54.46
16373,0,4,1914,1200,54184,1,31613,20209,26.81,54.22
16374,1,5,2400,1291,58116,1,33406,18344,26.81,54.22
16376,2,5,2720,1348,48787,1,31272,19843,26.81,54.22
16377,3,4,1901,1198,63483,1,39445,22278,26.81,54.22
16379,4,5,2240,1262,49335,1,33282,18969,26.81,54.22
19400,0,4,1512,1118,57568,1,33987,22180,26.91,53.95
19401,1,4,1982,1213,60259,1,35396,19816,26.91,53.95
19403,2,5,2286,1271,51189,1,33724,21297,26.91,53.95
19404,3,4,1419,1098,66789,1,41923,24995,26.91,53.95
19406,4,4,1730,1164,50483,1,35649,21032,26.91,53.95
22422,0,4,1296,1071,59731,1,35540,23549,27.02,53.67
22423,1,4,1715,1161,62672,1,37926,20990,27.02,53.67
